county_name,total_population,median_income,less_than_high_school,high_school,some_college,bachelors_or_higher,inc_greater_than_ave,greater_than_thirty_percent_have_bachelors
"Adams County, Illinois",67030,43824,.069384963,.366375208,.315548418,.248691411,1,1
"Alexander County, Illinois",8449,28833,.178213091,.399904443,.32513139,.096751075,1,1
"Bond County, Illinois",17904,51946,.085905897,.338620396,.305407707,.270066,0,1
"Boone County, Illinois",53567,61210,.123586957,.357753623,.298550725,.220108696,0,1
"Brown County, Illinois",6897,38696,.248460445,.301279015,.327096163,.123164377,1,1
"Bureau County, Illinois",35083,45692,.090440279,.391039148,.354219807,.164300765,1,1
"Calhoun County, Illinois",5118,44891,.08697318,.408429119,.351724138,.152873563,1,1
"Carroll County, Illinois",15615,44805,.106620382,.37478304,.335854203,.182742375,1,1
"Cass County, Illinois",13648,41544,.161109514,.414199483,.280684105,.144006899,1,1
"Champaign County, Illinois",197867,45262,.06192879,.207644232,.28873833,.441688649,1,0
"Christian County, Illinois",34936,41712,.102650469,.404527885,.350911099,.141910547,1,1
"Clark County, Illinois",16545,43597,.079053254,.360473373,.37443787,.186035503,1,1
"Clay County, Illinois",13927,38016,.074432296,.399215027,.371320437,.15503224,1,1
"Clinton County, Illinois",37395,55278,.091270235,.299135962,.403913,.205680802,0,1
"Coles County, Illinois",53568,36457,.070322274,.325553303,.347901117,.256223306,1,1
"Cook County, Illinois",5172848,53942,.144576804,.234467625,.261840599,.359114973,0,0
"Crawford County, Illinois",19864,41434,.100482236,.32595217,.418659581,.154906013,1,1
"Cumberland County, Illinois",11073,42101,.070699965,.410130144,.372669715,.146500176,1,1
"DeKalb County, Illinois",104026,54002,.073235823,.2644558,.358110764,.304197613,0,0
"De Witt County, Illinois",16672,45347,.074170536,.450232137,.298493942,.177103386,1,1
"Douglas County, Illinois",20012,46941,.165592913,.362593115,.307026374,.164787598,1,1
"DuPage County, Illinois",911481,76581,.065631522,.177362631,.269147589,.487858258,0,0
"Edgar County, Illinois",18776,39904,.0952673,.39323316,.334457733,.177041807,1,1
"Edwards County, Illinois",6707,40430,.070496084,.289527125,.482158399,.157818393,1,1
"Effingham County, Illinois",34232,49509,.056192066,.343427946,.37048765,.229892337,0,1
"Fayette County, Illinois",22007,41269,.129248153,.411212516,.292916123,.166623207,1,1
"Ford County, Illinois",14113,48667,.08051507,.393236168,.332389982,.19385878,0,1
"Franklin County, Illinois",39528,34381,.114329646,.314418928,.430881405,.140370021,1,1
"Fulton County, Illinois",37205,41268,.131961993,.344940867,.371373699,.151723441,1,1
"Gallatin County, Illinois",5773,38003,.163556159,.354937224,.361384459,.120122158,1,1
"Greene County, Illinois",13983,41450,.113696164,.420024927,.320454231,.145824678,1,1
"Grundy County, Illinois",48744,64297,.073774844,.329578213,.400280686,.196366257,0,1
"Hamilton County, Illinois",8453,35032,.110691527,.375973566,.3632287,.150106207,1,1
"Hancock County, Illinois",19227,42857,.069457082,.377211607,.341522596,.211808715,1,1
"Hardin County, Illinois",4402,27578,.13271194,.368397692,.374611629,.124278739,1,1
"Henderson County, Illinois",7462,43450,.094563843,.413906448,.335524652,.156005057,1,1
"Henry County, Illinois",50477,49164,.091318967,.307733456,.366957053,.233990524,0,1
"Iroquois County, Illinois",30068,47323,.096704164,.37254128,.375238471,.155516084,0,1
"Jackson County, Illinois",59864,32169,.076360412,.232590787,.313236544,.377812258,1,0
"Jasper County, Illinois",9752,46546,.07575166,.352010933,.423662632,.148574775,1,1
"Jefferson County, Illinois",39202,41161,.134555251,.337759176,.384471064,.143214509,1,1
"Jersey County, Illinois",22932,53470,.074732188,.348920252,.397126339,.179221221,0,1
"Jo Daviess County, Illinois",22728,50279,.072853279,.371788371,.302569304,.252789047,0,1
"Johnson County, Illinois",12710,41619,.196407879,.309385863,.3547219,.139484357,1,1
"Kane County, Illinois",502628,67767,.162601322,.229924631,.272676242,.334797806,0,0
"Kankakee County, Illinois",112100,50484,.118476284,.327182734,.362687141,.191653841,0,1
"Kendall County, Illinois",105602,79897,.070745068,.244825434,.343636238,.34079326,0,0
"Knox County, Illinois",52932,39545,.117839121,.351662214,.362570496,.167928169,1,1
"Lake County, Illinois",697179,78948,.105851908,.19637053,.264352402,.433425161,0,0
"LaSalle County, Illinois",113789,51705,.083917273,.360330635,.373783931,.181968161,0,1
"Lawrence County, Illinois",16849,38771,.184861878,.345414365,.354143646,.11558011,1,1
"Lee County, Illinois",36100,48502,.110060279,.347173145,.37414259,.168623987,0,1
"Livingston County, Illinois",39010,50500,.132760678,.394416607,.32445717,.148365545,0,1
"Logan County, Illinois",30440,48999,.124976902,.378995996,.311795504,.184231598,0,1
"McDonough County, Illinois",32730,33702,.064080567,.265721746,.301007087,.369190601,1,0
"McHenry County, Illinois",306050,76482,.06832032,.258641211,.332597362,.340441106,0,0
"McLean County, Illinois",166706,57642,.045533576,.238428149,.277700098,.438338176,0,0
"Macon County, Illinois",110719,44337,.099199748,.333251615,.34379323,.223755407,1,1
"Macoupin County, Illinois",47980,47178,.079481694,.370120696,.382190288,.168207322,1,1
"Madison County, Illinois",268005,51941,.072576641,.31362869,.359017463,.254777206,0,1
"Marion County, Illinois",39722,38974,.117527106,.341987466,.392917537,.14756789,1,1
"Marshall County, Illinois",12763,49116,.065481617,.390003039,.358097843,.186417502,0,1
"Mason County, Illinois",14921,42461,.134550635,.375161875,.310929811,.179357679,1,1
"Massac County, Illinois",15425,41077,.106018981,.344905095,.4000999,.148976024,1,1
"Menard County, Illinois",12702,56230,.057409296,.353344019,.32216232,.267084365,0,1
"Mercer County, Illinois",16551,50909,.074469306,.376477338,.383820998,.165232358,0,1
"Monroe County, Illinois",32431,68253,.040273038,.290102389,.386746303,.282878271,0,1
"Montgomery County, Illinois",30230,40864,.1215781,.403319708,.3265205,.148581692,1,1
"Morgan County, Illinois",35755,44645,.107241961,.376135807,.299961913,.216660319,1,1
"Moultrie County, Illinois",14723,46364,.143110747,.381947289,.317492831,.157449133,1,1
"Ogle County, Illinois",53578,55733,.102091901,.342284999,.361916682,.193706419,0,1
"Peoria County, Illinois",185108,49747,.08888494,.275247483,.333263644,.302603933,0,0
"Perry County, Illinois",22488,40696,.15280448,.344311628,.355930787,.146953105,1,1
"Piatt County, Illinois",16708,55752,.064526989,.331837055,.346537987,.257097969,0,1
"Pike County, Illinois",16580,40205,.11979416,.436093825,.306366683,.137745333,1,1
"Pope County, Illinois",4426,39672,.12071993,.323529412,.464881475,.090869183,1,1
"Pulaski County, Illinois",6262,31173,.15840622,.345643019,.349530288,.146420473,1,1
"Putnam County, Illinois",5982,56458,.072823055,.334986055,.42981097,.162379919,0,1
"Randolph County, Illinois",33567,45020,.179837676,.382902606,.308842375,.128417343,1,1
"Richland County, Illinois",16166,41917,.065345081,.325746451,.401615272,.207293196,1,1
"Rock Island County, Illinois",147524,46226,.105437131,.303857266,.359282684,.23142292,1,1
"St. Clair County, Illinois",266727,48562,.088263648,.27468133,.376255936,.260799086,0,1
"Saline County, Illinois",25171,35644,.124614289,.266318538,.441886225,.167180948,1,1
"Sangamon County, Illinois",195288,52232,.072933749,.261353834,.326296532,.339415885,0,0
"Schuyler County, Illinois",7527,43686,.070184426,.410604508,.334528689,.184682377,1,1
"Scott County, Illinois",5374,49462,.07135096,.422672945,.302064469,.203911626,0,1
"Shelby County, Illinois",22362,44627,.083311317,.387142228,.359313078,.170233377,1,1
"Stark County, Illinois",6086,49195,.089273817,.356429047,.371752165,.18254497,0,1
"Stephenson County, Illinois",47791,43304,.076371926,.332966943,.407791891,.18286924,1,1
"Tazewell County, Illinois",133863,54232,.061567556,.299460671,.379001191,.259970582,0,1
"Union County, Illinois",17959,39760,.183757962,.295435244,.324203822,.196602972,1,1
"Vermilion County, Illinois",82033,39456,.122243272,.388395026,.340935587,.148426115,1,1
"Wabash County, Illinois",12141,46026,.117191283,.304923325,.413559322,.164326069,1,1
"Warren County, Illinois",17745,41636,.123616026,.314005251,.359776281,.202602443,1,1
"Washington County, Illinois",14841,51440,.070562715,.325762409,.404746714,.198928161,0,1
"Wayne County, Illinois",16846,39207,.09659494,.351619768,.422440293,.129344999,1,1
"White County, Illinois",14800,39728,.094950026,.327459232,.436612309,.140978432,1,1
"Whiteside County, Illinois",58750,45266,.102835702,.3790344,.337959888,.180170009,1,1
"Will County, Illinois",667977,75906,.082934369,.262511314,.325423682,.329130635,0,0
"Williamson County, Illinois",65579,40579,.082367526,.30144727,.381393069,.234792135,1,1
"Winnebago County, Illinois",293972,47198,.132335337,.32464699,.317979379,.225038294,0,1
"Woodford County, Illinois",38226,65890,.0428652,.278828898,.374814131,.30349177,0,0
